time,open,high,low,close,"GOLD, TVC: Open","GOLD, TVC: High","GOLD, TVC: Low","GOLD, TVC: Close","JPYUSD, IDC: Open","JPYUSD, IDC: High","JPYUSD, IDC: Low","JPYUSD, IDC: Close","EURUSD, FXCM: Open","EURUSD, FXCM: High","EURUSD, FXCM: Low","EURUSD, FXCM: Close","GBPUSD, FXCM: Open","GBPUSD, FXCM: High","GBPUSD, FXCM: Low","GBPUSD, FXCM: Close","SPY, CBOE BZX: Open","SPY, CBOE BZX: High","SPY, CBOE BZX: Low","SPY, CBOE BZX: Close","AAPL, CBOE BZX: Open","AAPL, CBOE BZX: High","AAPL, CBOE BZX: Low","AAPL, CBOE BZX: Close","MSFT, CBOE BZX: Open","MSFT, CBOE BZX: High","MSFT, CBOE BZX: Low","MSFT, CBOE BZX: Close","GOOGL, CBOE BZX: Open","GOOGL, CBOE BZX: High","GOOGL, CBOE BZX: Low","GOOGL, CBOE BZX: Close","USB, CBOE BZX: Open","USB, CBOE BZX: High","USB, CBOE BZX: Low","USB, CBOE BZX: Close","TSLA, CBOE BZX: Open","TSLA, CBOE BZX: High","TSLA, CBOE BZX: Low","TSLA, CBOE BZX: Close","ADSK, CBOE BZX: Open","ADSK, CBOE BZX: High","ADSK, CBOE BZX: Low","ADSK, CBOE BZX: Close","NFLX, CBOE BZX: Open","NFLX, CBOE BZX: High","NFLX, CBOE BZX: Low","NFLX, CBOE BZX: Close","AMD, CBOE BZX: Open","AMD, CBOE BZX: High","AMD, CBOE BZX: Low","AMD, CBOE BZX: Close","AVGO, CBOE BZX: Open","AVGO, CBOE BZX: High","AVGO, CBOE BZX: Low","AVGO, CBOE BZX: Close","AMZN, CBOE BZX: Open","AMZN, CBOE BZX: High","AMZN, CBOE BZX: Low","AMZN, CBOE BZX: Close","SPGI, CBOE BZX: Open","SPGI, CBOE BZX: High","SPGI, CBOE BZX: Low","SPGI, CBOE BZX: Close","PYPL, CBOE BZX: Open","PYPL, CBOE BZX: High","PYPL, CBOE BZX: Low","PYPL, CBOE BZX: Close","PLATINUM, TVC: Open","PLATINUM, TVC: High","PLATINUM, TVC: Low","PLATINUM, TVC: Close","SILVER, TVC: Open","SILVER, TVC: High","SILVER, TVC: Low","SILVER, TVC: Close","SBUX, CBOE BZX: Open","SBUX, CBOE BZX: High","SBUX, CBOE BZX: Low","SBUX, CBOE BZX: Close","QCOM, CBOE BZX: Open","QCOM, CBOE BZX: High","QCOM, CBOE BZX: Low","QCOM, CBOE BZX: Close","FB, CBOE BZX: Open","FB, CBOE BZX: High","FB, CBOE BZX: Low","FB, CBOE BZX: Close","USB, CBOE BZX: Open","USB, CBOE BZX: High","USB, CBOE BZX: Low","USB, CBOE BZX: Close","CDR, GPW: Open","CDR, GPW: High","CDR, GPW: Low","CDR, GPW: Close","KGH, GPW: Open","KGH, GPW: High","KGH, GPW: Low","KGH, GPW: Close","PKN, GPW: Open","PKN, GPW: High","PKN, GPW: Low","PKN, GPW: Close",Volume,Volume MA
2020-12-22T22:00:00Z,0.26971,0.27103,0.26971,0.27019,1859.9,1878.5,1857.23,1872.69,0.009646,0.009674,0.009646,0.009654,1.2161,1.2221,1.2154,1.21831,1.33518,1.35705,1.33474,1.34879,368.28,369.62,367.2172,367.57,132.16,132.43,130.78,130.96,223.11,223.5589,220.8,221.02,1723.93,1744.11,1721.2,1728.23,45.96,46.96,45.84,46.73,632.2,651.4999,622.5701,645.98,305.65,307.22,300,300.18,524.76,526.32,514.2,514.48,93.08,93.13,91.46,91.55,435,436,425.08,425.46,3205,3210.13,3184.17,3185.27,320,321.57,313.56,313.63,243.6,244.25,238.33,239.44,1001,1021.295,1001,1015.576,25.1679,25.787,25.0525,25.503,102.29,102.685,101.965,102.06,147.63,151.54,146.87,146.96,266.89,272.1699,266.23,268.11,45.96,46.96,45.84,46.73,275,275.60001,252,269,181.8,186.05,181.8,185.25,56.740002,58,56.34,57.419998,0,0
2020-12-23T22:00:00Z,0.27043,0.27099,0.26991,0.26991,1871.3,1883.495,1869.69,1878.97,0.009656,0.009661,0.009638,0.009651,1.21831,1.22157,1.21764,1.21794,1.34879,1.36194,1.34837,1.3531,368.08,369.03,367.45,369,131.32,133.46,131.1,131.97,221.42,223.61,221.2,222.75,1729,1742.41,1724.35,1734.16,46.68,46.73,46.015,46.49,642.99,666.09,641,661.77,300.4,302.76,298.7689,301.39,515.12,519.345,512.2104,513.97,91.8,92.51,91.31,91.81,428.49,432,427.57,431.46,3193.9,3202,3169,3172.69,313.23,316.94,313.23,316.58,240.36,242.12,238.09,238.64,1012.5,1029.124,1012.5,1025.5,25.5084,25.905,25.4115,25.7995,102.3,102.36,101.68,102.01,147.8,148.9,147.2,148.79,268.875,270.4,266.2,267.4,46.68,46.73,46.015,46.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
2020-12-24T22:00:00Z,0.27018,0.27064,0.27008,0.27008,NaN,NaN,NaN,NaN,0.009643,0.009674,0.009639,0.00966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
2020-12-27T22:00:00Z,0.27008,0.27254,0.27008,0.27123,1879.19,1900.185,1869.47,1873.22,0.00966,0.009669,0.009626,0.009634,1.21794,1.22504,1.21794,1.22137,1.3544,1.3576,1.34291,1.3445799999999999,371.74,372.59,371.07,372.17,133.99,137.34,133.51,136.69,224.45,226.03,223.02,224.96,1744.91,1787,1741.82,1773.96,46.86,47.25,46.54,46.66,674.51,681.4,660.8,663.69,304.25,305.44,298.02,299.65,516.43,523.66,507.13,519.12,92.93,93.14,90.82,91.6,434.34,437.27,431.15,431.88,3194,3304,3172.69,3283.96,318.93,319.02,314.37,318.04,243.5,243.5,235.25,235.73,1023,1052.5,1023,1034,25.7995,26.77,25.7995,26.2,102.92,104.38,102.31,104.34,150.62,151.07,147.44,147.74,268.74,277.3,265.66,277,46.86,47.25,46.54,46.66,265,274,257.10001,274,187,189.39999,187,188.05,58.560001,59.939999,58.5,59.599998,0,0
2020-12-28T22:00:00Z,0.27116,0.27295,0.26881,0.2697,1873.1,1886.49,1871.88,1878.078,0.009629,0.009664,0.009629,0.009653,1.22137,1.22753,1.22062,1.22464,1.3445799999999999,1.35225,1.34391,1.34986,373.81,374,370.83,371.46,138.05,138.789,134.3409,134.87,226.31,227.18,223.58,224.15,1787.23,1788.47,1755.11,1757.76,46.82,46.85,46.09,46.13,661,669.9,655,665.99,300,301.73,296.03,298.11,519.9,536.5478,515.4801,530.87,91.66,92.46,89.4301,90.62,435.83,435.83,426.79,429.04,3309.94,3350.65,3281.223,3322,320.49,322.91,319.79,321.49,236,236.25,229.68,231.03,1036.5,1062.158,1036.5,1053.5,26.2355,26.602,25.962,26.19,104.8873,105.78,104.47,105.63,148.97,148.99,147.03,148.49,276.95,280.51,276.28,276.78,46.82,46.85,46.09,46.13,279.5,285.20001,274.39999,280.5,188.05,189.35001,186.25,186.5,60,61,58.84,59.200001,0,0
2020-12-29T22:00:00Z,0.2697,0.27145,0.26752,0.268,1877.9,1894.1,1876.3,1894.1,0.00966,0.009711,0.009651,0.009687,1.22464,1.23101,1.22449,1.22927,1.34986,1.36253,1.34908,1.36245,372.34,373.1,371.57,371.99,135.58,135.99,133.4,133.72,225.23,225.63,221.47,221.68,1765,1767.76,1728,1736.25,45.89,46.28,45.82,46.15,672,696.6,668.3603,694.78,300.25,301.51,297.94,299.41,530.13,533.2575,523.69,524.59,90.78,92.85,90.19,92.29,431.67,437.9999,430.1,434.83,3341,3342.1,3282.47,3285.85,322.71,324.29,320.76,323.63,232.19,233.84,230.02,231.51,1054,1073.5,1054,1071,26.193,26.638,26.1375,26.5975,105.99,106.62,105.7801,105.97,149.12,151.61,148.9227,149.95,277.95,278.08,271.71,271.87,45.89,46.28,45.82,46.15,280.5,280.5,270.39999,274.70001,186.5,187,182.64999,183,59.200001,59.299999,57.599998,57.720001,0,0
2020-12-30T22:00:00Z,0.26807,0.26927,0.26628,0.26773,1894.1,1900.99,1885.6,1897.9,0.009697,0.009708,0.009677,0.009677,1.22927,1.23093,1.22149,1.22157,1.36245,1.36863,1.36041,1.36561,371.78,374.66,371.232,373.88,134.08,134.74,131.72,132.69,221.7,223,219.68,222.42,1737.27,1757.5,1736.09,1752.64,46.13,46.66,45.88,46.59,699.99,718.72,691.12,705.67,299,305.85,299,305.34,525.53,545.5,523.1502,540.73,92.1,92.3,90.87,91.71,436.31,438.5,433.05,437.85,3275,3282.9219,3241.2,3256.93,324.3,328.85,323.305,328.73,232,234.69,229.69,234.2,1070.5,1081.5,1065.372,1072,26.5975,26.7018,26.2215,26.335,106,107.14,105.615,106.98,150.3218,152.56,150.1,152.34,272,277.09,269.81,273.16,46.13,46.66,45.88,46.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
2020-12-31T22:00:00Z,0.26766,0.26846,0.26763,0.26773,NaN,NaN,NaN,NaN,0.009677,0.009703,0.009676,0.009693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
2021-01-03T22:00:00Z,0.2676,0.27059,0.26655,0.26866,1898.07,1944.45,1898.07,1942.07,0.009691,0.009735,0.00968,0.009694,1.2239,1.23099,1.22279,1.22433,1.3646099999999999,1.37039,1.35415,1.35644,375.31,375.45,364.82,368.79,133.52,133.6116,126.76,129.41,222.53,223,214.81,217.69,1760,1762.4899,1707.14,1726.13,46.69,46.9,45.6,46.12,719.46,744.4899,717.1895,729.77,304.11,307.83,293.05,296.84,539,540.8,515.085,522.86,92.11,96.06,90.915,92.3,439.33,442.24,421.235,425.22,3270,3272,3144.02,3186.63,331.71,336.73,330.5,333.25,237.8,237.9969,227.5348,231.92,1072,1130.656,1050.499,1066,26.356,27.565,26.3437,27.2018,107.66,107.75,102.1401,103.1,153.01,155.15,147.1388,148.5,274.78,275,265.2,268.94,46.69,46.9,45.6,46.12,276.5,279,268.10001,276.39999,185.89999,194.75,185.89999,194.75,58.939999,60.619999,58.619999,58.98,0,0
2021-01-04T22:00:00Z,0.26853,0.27122,0.26853,0.27114,1942.07,1953.06,1934.5,1949.75,0.009697,0.009745,0.009692,0.009733,1.22433,1.23057,1.22411,1.22925,1.35644,1.36423,1.35539,1.3623,368.1,372.5,368.05,371.33,128.89,131.74,128.43,131.01,217.26,218.52,215.7,217.9,1725.09,1746.83,1716.9,1740.05,46.11,46.61,45.56,46.27,723.66,740.84,719.2,735.11,297.84,302.511,296.54,301.7,521.55,526.78,515.89,520.8,92.1,93.2077,91.41,92.77,425.05,429.39,422.4,428.1,3166.01,3223.38,3165.06,3218.51,331.78,334.65,325.0934,328.45,230.47,235.64,229.8,234.91,1064,1116.218,1063,1111,27.22,27.688,26.9835,27.503,102.92,104.26,102.8,103.44,148.65,152.7,148.5,152.43,268.29,272.4,268.2111,270.97,46.11,46.61,45.56,46.27,275.60001,275.60001,263.60001,265.70001,193.95,199.14999,193.3,196.95,58.700001,60.18,58.099998,59.599998,0,0
