time,open,high,low,close,"GOLD, TVC: Open","GOLD, TVC: High","GOLD, TVC: Low","GOLD, TVC: Close","JPYUSD, IDC: Open","JPYUSD, IDC: High","JPYUSD, IDC: Low","JPYUSD, IDC: Close","EURUSD, FXCM: Open","EURUSD, FXCM: High","EURUSD, FXCM: Low","EURUSD, FXCM: Close","GBPUSD, FXCM: Open","GBPUSD, FXCM: High","GBPUSD, FXCM: Low","GBPUSD, FXCM: Close","SPY, CBOE BZX: Open","SPY, CBOE BZX: High","SPY, CBOE BZX: Low","SPY, CBOE BZX: Close","AAPL, CBOE BZX: Open","AAPL, CBOE BZX: High","AAPL, CBOE BZX: Low","AAPL, CBOE BZX: Close","MSFT, CBOE BZX: Open","MSFT, CBOE BZX: High","MSFT, CBOE BZX: Low","MSFT, CBOE BZX: Close","GOOGL, CBOE BZX: Open","GOOGL, CBOE BZX: High","GOOGL, CBOE BZX: Low","GOOGL, CBOE BZX: Close","USB, CBOE BZX: Open","USB, CBOE BZX: High","USB, CBOE BZX: Low","USB, CBOE BZX: Close","TSLA, CBOE BZX: Open","TSLA, CBOE BZX: High","TSLA, CBOE BZX: Low","TSLA, CBOE BZX: Close","ADSK, CBOE BZX: Open","ADSK, CBOE BZX: High","ADSK, CBOE BZX: Low","ADSK, CBOE BZX: Close","NFLX, CBOE BZX: Open","NFLX, CBOE BZX: High","NFLX, CBOE BZX: Low","NFLX, CBOE BZX: Close","AMD, CBOE BZX: Open","AMD, CBOE BZX: High","AMD, CBOE BZX: Low","AMD, CBOE BZX: Close","AVGO, CBOE BZX: Open","AVGO, CBOE BZX: High","AVGO, CBOE BZX: Low","AVGO, CBOE BZX: Close","AMZN, CBOE BZX: Open","AMZN, CBOE BZX: High","AMZN, CBOE BZX: Low","AMZN, CBOE BZX: Close","SPGI, CBOE BZX: Open","SPGI, CBOE BZX: High","SPGI, CBOE BZX: Low","SPGI, CBOE BZX: Close","PYPL, CBOE BZX: Open","PYPL, CBOE BZX: High","PYPL, CBOE BZX: Low","PYPL, CBOE BZX: Close","PLATINUM, TVC: Open","PLATINUM, TVC: High","PLATINUM, TVC: Low","PLATINUM, TVC: Close","SILVER, TVC: Open","SILVER, TVC: High","SILVER, TVC: Low","SILVER, TVC: Close","SBUX, CBOE BZX: Open","SBUX, CBOE BZX: High","SBUX, CBOE BZX: Low","SBUX, CBOE BZX: Close","QCOM, CBOE BZX: Open","QCOM, CBOE BZX: High","QCOM, CBOE BZX: Low","QCOM, CBOE BZX: Close","FB, CBOE BZX: Open","FB, CBOE BZX: High","FB, CBOE BZX: Low","FB, CBOE BZX: Close","USB, CBOE BZX: Open","USB, CBOE BZX: High","USB, CBOE BZX: Low","USB, CBOE BZX: Close","CDR, GPW: Open","CDR, GPW: High","CDR, GPW: Low","CDR, GPW: Close","KGH, GPW: Open","KGH, GPW: High","KGH, GPW: Low","KGH, GPW: Close","PKN, GPW: Open","PKN, GPW: High","PKN, GPW: Low","PKN, GPW: Close",Volume,Volume MA
2017-05-14T22:00:00Z,0.25887,0.2669,0.25887,0.26673,1228.22,1265.01,1227.15,1255,0.008821,0.009069,0.008785,0.008991,1.09291,1.12117,1.09225,1.12071,1.28803,1.30476,1.28642,1.3033,239.47,240.67,235.43,238.31,39.0025,39.1625,37.4275,38.265,68.14,69.44,67.14,67.69,955.29,965.8955,940.06,954.65,51.5,52.16,50.1,51.1,63.676,64.04,61.062,62.166,95.73,112.18,93.07,109.91,160.25,161.78,153,157.02,11.41,12.77,10.81,11.41,235.61,241.29,227.68,234.1,958.73,970.06,944.12,959.84,136.86,139.45,136.22,138.14,49.31,50.35,48.89,49.39,920,948.57,920,937.86,16.439,17.034,16.435,16.835,60.42,61.92,58.87,61.36,55.08,57.79,55.02,57.67,150.17,151.48,144.4216,148.06,51.5,52.16,50.1,51.1,68.800003,68.800003,64.5,66.190002,118.9,119.85,110.05,115,115.7,115.8,105.3,110.05,0,0
2017-05-21T22:00:00Z,0.26673,0.26893,0.26563,0.26712,1255.23,1269.5,1248.08,1266.85,0.008984,0.009019,0.00892,0.008977,1.11944,1.12679,1.11601,1.11788,1.29907,1.30426,1.27748,1.28054,238.9,242.08,238.82,241.71,38.5,38.725,38.1675,38.4025,67.89,70.22,67.5,69.96,957,996.39,956.56,993.27,51.27,52.205,50.87,51.44,62.56,65.098,60.696,65.028,109.8,114.68,109.76,113.03,157.86,164.1,156.43,162.43,11.49,11.55,10.62,11,235.53,241.6,234.2201,241.21,964,999,962.9,995.78,138.43,141.11,137.66,140.21,49.45,51.39,49.35,51.19,941,965.73,936.98,958,16.843,17.387,16.843,17.335,61.03,63.42,60.86,63.3,58.39,59.89,57.37,57.52,148.08,152.59,147.25,152.13,51.27,52.205,50.87,51.44,66.5,75.900002,66.5,73,115.25,116.1,108.95,110.75,111,112.15,104.55,105.1,0,0
2017-05-28T22:00:00Z,0.26712,0.26938,0.2659,0.26849,1266.8,1279.5,1259.24,1278.77,0.008981,0.009063,0.008953,0.009063,1.11685,1.1285,1.11091,1.12802,1.27999,1.29211,1.27688,1.28894,241.34,244.35,240.64,244.17,38.355,38.8625,38.055,38.8625,69.79,71.86,69.451,71.76,992.5,999.6,981.29,996.12,51.21,51.67,50.43,51.3,65.2,68.976,65.152,67.97,112.8,113.92,110.94,112.91,163.6,165.36,160.74,165.18,10.95,11.49,10.565,10.9,240.5,255.82,233.81,254.53,996.51,1008.48,982.16,1006.73,140.04,145.3,139.755,144.16,50.96,53.64,50.86,53.52,958.5,962.46,925.76,952,17.339,17.58,17.018,17.55,63.07,64.68,63.01,64.57,57.28,58.96,57,58.58,151.97,153.63,150.3,153.61,51.21,51.67,50.43,51.3,72.800003,82.889999,72.209999,82,110.55,111.15,105.45,108.55,105.5,109.3,104.1,105.75,0,0
2017-06-04T22:00:00Z,0.26909,0.26929,0.26612,0.26691,1278.82,1296.06,1264.8,1265.9,0.009052,0.009163,0.009026,0.009059,1.1271,1.1284399999999999,1.11662,1.11951,1.28563,1.29776,1.2635399999999999,1.27405,243.97,245.01,241.95,243.41,38.585,38.995,36.505,37.245,71.97,72.89,68.59,70.32,997.89,1008.61,953.37,970.12,51.37,53.02,50.76,52.89,67.7,75.374,66.842,71.464,112.74,113.14,103.62,105.95,165.49,166.87,154.5,158.03,10.84,13.4,10.8,12.28,254,256.78,241.45,243.34,1007.23,1016.5,927,978.31,144.19,147.54,143.4,146.81,53.77,55.14,52.85,53.4,952,967.29,935.62,936,17.53,17.748,17.159,17.159,64.85,64.87,61.8745,62.19,58.5,59.05,56.74,57.05,153.64,155.59,146.61,149.6,51.37,53.02,50.76,52.89,82.480003,83,76.800003,82.220001,108.1,114.8,106.6,114.5,105.75,113.25,103.2,111.25,0,0
2017-06-11T22:00:00Z,0.26691,0.2687,0.26277,0.26548,1266.45,1281.16,1251.6,1253.1,0.009062,0.009178,0.008977,0.009018,1.12068,1.12957,1.1132,1.11955,1.27132,1.28181,1.26383,1.27759,243.13,244.87,241.6337,242.64,36.435,36.875,35.55,35.5675,69.25,71.1,68.13,70,958.72,979.7,936.795,958.62,53.03,53.46,51.97,52.27,71.598,76.85,70.124,74.28,104.21,108.65,100.7,104.88,155.3,155.68,147.3,152.38,11.75,12.48,11.21,11.44,240.3975,247.9115,235.13,236.25,967,999.75,945,987.71,146.39,149.17,144.35,148.49,52.81,52.9,50.83,51.84,936,954.45,919.39,927,17.159,17.374,16.659,16.659,61.8,61.99,59.47,60.14,56.52,58.065,56.35,56.82,148.17,152.4,144.56,150.64,53.03,53.46,51.97,52.27,81.989998,84.889999,80.050003,82.599998,114.3,114.3,106.65,106.65,111.6,114.55,108.9,114.25,0,0
2017-06-18T22:00:00Z,0.26548,0.26609,0.26163,0.26376,1253.66,1258.9,1241.03,1256.4,0.009017,0.009026,0.008948,0.008983,1.12053,1.12128,1.11188,1.11921,1.27593,1.28144,1.2589,1.27184,243.59,244.73,242.41,243.13,35.915,36.79,35.915,36.57,70.5,71.25,69.71,71.21,969.65,986.62,968.2,986.09,52.47,52.84,50.575,50.77,75,77.398,73.56,76.69,105.6,108.76,104.3,107.75,154.29,158.19,151.4,158.02,11.63,14.67,11.62,14.17,244.81,246.87,239.845,245.26,1017,1017,989.9,1003.74,149.58,150.4,144.68,146.7,52.28,54.53,52.1101,54.33,926,934.71,917.58,926,16.681,16.791,16.369,16.68,60.35,61,59.4,59.81,56.96,57.66,56.06,56.91,151.71,155.2,151.71,155.07,52.47,52.84,50.575,50.77,83.800003,84.5,82.5,83.620003,107.8,110.8,105.15,108.8,115,120.7,114.1,117.75,0,0
2017-06-25T22:00:00Z,0.26376,0.27,0.26376,0.26964,1256.6,1258.11,1236.37,1241.33,0.008983,0.008996,0.008856,0.008893,1.1193899999999999,1.14455,1.11717,1.14172,1.27338,1.3030599999999999,1.27062,1.30264,243.9,244.38,239.955,241.8,36.7925,37.07,35.57,36.005,71.4,71.71,68.09,68.93,990,993.99,929.6,929.68,50.93,52.99,50.77,51.92,77.338,77.39,70.82,72.322,107.76,109.07,100,100.82,158.78,159.97,148,149.41,14.39,14.49,12.36,12.48,245.99,247.9,230.5701,233.05,1008.5,1009.8,965.25,968,147.17,149.88,145.56,145.99,54.44,55.1,52.52,53.67,928,929.17,912.05,925.14,16.679,16.896,16.279,16.582,60.02,60.15,57.955,58.31,57.09,57.6892,54.55,55.22,156.25,156.5,148.9175,150.98,50.93,52.99,50.77,51.92,83.349998,86.860001,83.349998,86.040001,110.1,114.25,109.3,110.65,119.05,119.85,111.65,111.9,0,0
2017-07-02T22:00:00Z,0.26964,0.2699,0.26673,0.26876,1241.28,1242.71,1207.51,1212.49,0.008896,0.00893,0.00876,0.008778,1.14174,1.14399,1.13122,1.14002,1.30032,1.30246,1.28668,1.28838,242.88,243.38,240.34,242.11,36.22,36.325025,35.6025,36.045,69.33,69.84,68.02,69.46,933.22,944.66,915.31,940.81,52.15,52.98,52.105,52.46,74.048,74.27,61.26,62.644,101.32,104.28,99.22,103.32,149.8,150.75,144.25,150.18,12.57,13.745,12.13,13.36,234.51,240.19,227.5,239.62,972.79,980.11,951.0001,978.76,146.42,149.8,145.72,148.79,54.14,54.75,52.83,53.97,922.5,930.31,900.83,906.75,16.603,16.645,14.39,15.562,58.9,58.99,57.4,58.04,55.53,56.02,54.735,55.35,151.72,152.15,147.8,151.44,52.15,52.98,52.105,52.46,86.040001,86.099998,78.019997,79.699997,111.2,113.55,108.6,108.6,112.6,113.6,109.55,110.65,0,0
2017-07-09T22:00:00Z,0.26864,0.27237,0.26846,0.27183,1212.84,1232.9,1205.02,1228.55,0.008777,0.008905,0.008735,0.008884,1.13956,1.14895,1.13704,1.14652,1.2878,1.31139,1.28118,1.31016,241.95,245.97,240.85,245.56,36.0275,37.3325,35.8425,37.26,69.46,73.27,69.2,72.78,941.95,978.7,941.95,976.91,52.28,52.47,51.4,52.08,62.58,66.62,60.626,65.556,103.33,108.91,102.38,108.74,150.34,161.35,149.65,161.12,13.61,14.49,13.27,13.92,240.51,250.4,238.81,250.29,985,1008.55,983.5,1001.81,148.55,150.01,146.96,149.47,54.91,58.63,54.33,57.16,906,921.89,891.2,918,15.582,16.083,15.194,15.96,58.18,58.92,57.53,58.76,55.37,56.93,55.02,56.81,151.69,160.32,151.51,159.97,52.28,52.47,51.4,52.08,79.900002,83.699997,79.900002,81.849998,109,115,107.1,114.65,111.6,113.95,109.7,113,0,0
2017-07-16T22:00:00Z,0.27183,0.27647,0.27183,0.27301,1228.52,1255.9,1228.46,1254.91,0.008884,0.009007,0.008862,0.008994,1.14731,1.16827,1.14346,1.16632,1.30974,1.31262,1.29328,1.29934,245.47,247.42,244.67,246.88,37.205,37.935,37.1425,37.5675,72.8,74.3,72.66,73.79,976.32,998.68,970.8,993.84,52.04,52.84,51.47,52.12,65.108,66.33,62.69,65.68,108.9,110.54,106.23,109.75,162.91,191.5,160.0201,188.54,14.03,14.12,13.15,13.88,250.79,255,246.06,253.11,1004.69,1034.97,1003.81,1025.67,149.26,154.66,148.19,153.85,57.53,59.38,57.02,58.67,919,939.05,915.32,933.5,15.959,16.522,15.959,16.47,58.73,58.87,57.69,57.98,56.73,56.9399,53.37,53.84,160.25,165.7,158.81,164.43,52.04,52.84,51.47,52.12,82.639999,88,81.110001,87,115.35,122.75,115.35,118.55,113.5,114.15,106.2,106.35,0,0
